```csv
factid,category,content,priorityweight,source,page,provenance
1,clinical,Inhaled Corticosteroids (ICSs) are first-line treatment for persistent asthma.,High,Initial Repairs,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Initial Repairs"
2,clinical,ICSs are most effective for long-term control of persistent asthma.,High,Initial Repairs,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Initial Repairs"
3,clinical,ICSs reduce chronic airway inflammation directly in the lungs.,High,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
4,clinical,ICSs should be taken daily to prevent symptoms and attacks.,High,Initial Repairs,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Initial Repairs"
5,clinical,ICSs are proven effective for asthma control.,High,Initial Repairs,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Initial Repairs"
6,clinical,ICSs are generally safe at prescribed doses.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
7,clinical,Common side effects of ICSs include throat irritation and hoarseness.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
8,clinical,Using a spacer device can minimize ICS side effects.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
9,clinical,ICSs may slightly affect linear growth rate.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
10,clinical,The growth effect from ICSs is usually small and not progressive.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
11,clinical,ICSs are safe during pregnancy when needed.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
12,clinical,ICSs are not addictive and not similar to anabolic steroids.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
13,clinical,ICSs should be used at the lowest effective dose.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
14,clinical,Correct inhaler technique is essential for ICS effectiveness.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
15,clinical,Uncontrolled asthma can have a significant impact on growth.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
16,clinical,Laboratory (LABAs) must be used only in combination with ICSs.,High,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
17,clinical,LABAs relax airway muscles for extended periods.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
18,clinical,LABAs improve lung function when combined with ICSs.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
19,clinical,LABAs reduce asthma attacks and SABA use when combined with ICSs.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
20,clinical,FDA has issued a Black Box warning for LABAs due to increased risk of severe exacerbations.,High,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
21,clinical,FDA Black Box warning includes risk of asthma-related deaths with LABAs.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
22,clinical,Daily LABA use without prescribed ICS increases exacerbation risk.,Medium,Red-team Fixes,,"# Resolved Manual\n\n## Original Text Hash: e93001f2\n\n## Red-team Targeted Fixes"
