```csv
factid,category,symptom|action|drug|workflow,content,priorityweight,source,page,provenance
1,workflow,,"WHO guideline",,"This text is part of a WHO guideline on the management of diarrhea in children under 10 years.",,ResolvedManual.md,,WHO guideline
2,workflow,,"GRADE system",,"The text uses GRADE (Grading of Recommendations Assessment, Development and Evaluation) criteria to assess the certainty of evidence and formulate recommendations.",,ResolvedManual.md,,GRADE system
3,workflow,,"ORS and Zinc",,"ORS and Zinc remain the cornerstone of treatment for dehydration and symptom management in acute diarrhea, especially in resource-limited settings.",,ResolvedManual.md,,Clinical cornerstone
4,clinical,action,,"Oral Rehydration Solutions (ORS) vs. Nothing by Mouth (NBM)",,"ORS is more effective than NBM for oral rehydration.",3,ResolvedManual.md,,Clinical recommendation
5,clinical,action,,"Oral Rehydration Solutions (ORS) vs. Nothing by Mouth (NBM)",,"NBM should generally be avoided unless there's severe vomiting.",3,ResolvedManual.md,,Clinical recommendation
6,clinical,drug,,"Zinc supplementation",,"Zinc supplementation reduces the duration and severity of diarrhea.",3,ResolvedManual.md,,Clinical recommendation
7,clinical,drug,,"Zinc supplementation",,"WHO recommends zinc supplementation (10-20g over 10-14 days, depending on age and severity) along with ORS for acute diarrhea.",3,ResolvedManual.md,,WHO recommendation
8,clinical,drug,,"Antibiotics",,"Antibiotics are generally not recommended for most cases of acute diarrhea (viral causes).",2,ResolvedManual.md,,Clinical recommendation
9,clinical,drug,,"Antibiotics",,"Antibiotics should only be considered for specific situations like bloody diarrhea, suspected bacterial infection, or in certain high-risk groups.",2,ResolvedManual.md,,Clinical recommendation
10,clinical,drug,,"Probiotics",,"Some specific probiotic strains (like Lactobacillus rhamnosus) may slightly reduce the duration of acute diarrhea.",3,ResolvedManual.md,,Clinical recommendation
11,clinical,drug,,"Probiotics",,"The recommendation for probiotics is conditional, depending on the specific probiotic strain and clinical context.",3,ResolvedManual.md,,Clinical recommendation
12,clinical,drug,,"LORS (Low Osmolarity Oral Rehydration Solution)",,"LORS is more effective than standard ORS.",2,ResolvedManual.md,,Clinical recommendation
13,clinical,drug,,"ORS",,"WHO recommends specific concentrations (e.g., 75 mmol/L sodium) and methods (e.g., 50-100 ml/kg for dehydration) for ORS.",3,ResolvedManual.md,,WHO recommendation
14,clinical,drug,,"ORS",,"ORS is the primary fluid replacement method for treating dehydration.",4,ResolvedManual.md,,Clinical cornerstone
15,clinical,drug,,"Zinc",,"Zinc is universally recommended alongside ORS for diarrheal management.",4,ResolvedManual.md,,Clinical cornerstone
16,workflow,,"Clinical judgment",,"The focus shifts to clinical judgment based on severity and risk factors.",,ResolvedManual.md,,Clinical judgment
17,workflow,,"Implementation",,"Recommendations are designed for use in diverse settings, emphasizing simplicity and effectiveness.",,ResolvedManual.md,,Implementation guidelines
```
