```csv
factid,category,content,priorityweight,source,page,provenance
1,drug,ICSs are the most effective medications for long-term control of persistent asthma.,1,Original Text,,"ResolvedManual.md"
2,drug,ICSs reduce chronic airway inflammation by acting directly on the lungs.,1,Original Text,,"ResolvedManual.md"
3,action,ICSs should be taken daily to prevent asthma symptoms and attacks.,1,Original Text,,"ResolvedManual.md"
4,action,ICS dosing should be titrated to the minimum effective dose needed for control.,1,Original Text,,"ResolvedManual.md"
5,drug,Mouth irritation and thrush are common side effects of ICSs.,1,Original Text,,"ResolvedManual.md"
6,drug,Growth delay (approximately 1 cm) is a less common side effect of ICSs in children.,1,Original Text,,"ResolvedManual.md"
7,drug,ICSs are generally safe for use in pregnant women when used to control asthma.,1,Original Text,,"ResolvedManual.md"
8,drug,The benefits of ICSs outweigh the risks when used at the lowest effective dose.,1,Original Text,,"ResolvedManual.md"
9,workflow,Clinicians must monitor patient response and titrate ICS doses to the minimum effective dose.,1,Original Text,,"ResolvedManual.md"
10,workflow,Patient education on proper inhaler technique and adherence is required for ICSs.,1,Original Text,,"ResolvedManual.md"
11,drug,ICSs are foundational for asthma control and should be used daily.,1,Red Team Fixes,,"ResolvedManual.md"
12,drug,LABAs are add-on controllers used in combination with ICSs for asthma not controlled by low-dose ICS alone.,1,Red Team Fixes,,"ResolvedManual.md"
13,drug,LABAs improve lung function and reduce asthma symptoms when combined with ICSs.,1,Red Team Fixes,,"ResolvedManual.md"
14,workflow,LABAs should only be used with ICSs and not for quick relief of acute symptoms.,1,Red Team Fixes,,"ResolvedManual.md"
15,workflow,Patients must be educated on daily ICS use even when on LABAs.,1,Red Team Fixes,,"ResolvedManual.md"
16,drug,The maximum daily dose for salmeterol is ≤100 mcg/day.,1,Red Team Fixes,,"ResolvedManual.md"
17,drug,The maximum daily dose for formoterol is ≤24 mcg/day.,1,Red Team Fixes,,"ResolvedManual.md"
18,drug,LABAs should never be used alone for long-term control.,1,Red Team Fixes,,"ResolvedManual.md"
19,drug,Black Box warning issued by FDA due to increased risk of severe asthma exacerbations with LABAs.,1,Red Team Fixes,,"ResolvedManual.md"
20,workflow,Benefits of LABAs must be weighed against the risk of severe exacerbations.,1,Red Team Fixes,,"ResolvedManual.md"
21,workflow,LABA use should not replace ICSs.,1,Red Team Fixes,,"ResolvedManual.md"
22,workflow,Patient education on avoiding LABA use in children under 4 years (unless approved for formoterol) is required.,1,Red Team Fixes,,"ResolvedManual.md"
23,workflow,Monitor growth, symptoms, and lung function to adjust ICS and LABA doses appropriately.,1,Key Takeaways,,"ResolvedManual.md"
24,workflow,Patient education on proper inhaler technique and adherence is required for LABAs.,1,Key Takeaways,,"ResolvedManual.md"
```
